id,owner,repo,number,title,user,user_id,state,created_at,closed_at,merged_at,is_closed,is_merged,time_to_close_hours,time_to_close_days,body_length,commits,changed_files,additions,deletions,code_churn,review_iterations,total_comments,reviewer_workload_hours,repo_url,html_url,dataset
3104379885,DashCoreAutoGuix,dash,32,"Backport bitcoin#25495: Revert ""bnb: exit selection when best_waste is 0""",,,closed,2025-05-30T22:16:18Z,2025-05-31T13:34:34Z,2025-05-31T13:34:34Z,True,True,15.3044444444444,0.637685185185185,339,1.0,2.0,4.0,6.0,10.0,1,1,15.3027777777777,https://api.github.com/repos/DashCoreAutoGuix/dash,https://github.com/DashCoreAutoGuix/dash/pull/32,Agent
3216145326,ravediamond,MCPH,105,Revert problematic OAuth and user ID changes,,,closed,2025-07-09T14:26:16Z,2025-07-09T14:28:41Z,2025-07-09T14:28:41Z,True,True,0.0402777777777777,0.0016782407407407,1312,5.0,6.0,20.0,157.0,177.0,0,1,,https://api.github.com/repos/ravediamond/MCPH,https://github.com/ravediamond/MCPH/pull/105,Agent
3249193146,bolt-foundry,bolt-foundry,1529,Revert to endpoint parameter for Terraform S3 backend config,,,closed,2025-07-21T15:56:18Z,,,True,False,,,739,,,,,,0,0,,https://api.github.com/repos/bolt-foundry/bolt-foundry,https://github.com/bolt-foundry/bolt-foundry/pull/1529,Agent
3267121179,Lucid-Directions,cashapp-fynlo,346,CRITICAL Fix: Authentication broken for all users - Revert to supabase_id,,,closed,2025-07-27T13:46:25Z,2025-07-27T16:58:19Z,2025-07-27T16:58:19Z,True,True,3.19833333333333,0.133263888888888,1669,,,,,,0,0,,https://api.github.com/repos/Lucid-Directions/cashapp-fynlo,https://github.com/Lucid-Directions/cashapp-fynlo/pull/346,Agent
3078457658,dbachko,nyhype.org,12,Revert repository to commit 7e0586d04a9e6b809599e7cd974cd1888e33f01f,,,closed,2025-05-20T23:35:01Z,2025-05-21T00:01:20Z,2025-05-21T00:01:20Z,True,True,0.438611111111111,0.0182754629629629,998,2.0,11.0,2.0,397.0,399.0,1,0,0.334722222222222,https://api.github.com/repos/dbachko/nyhype.org,https://github.com/dbachko/nyhype.org/pull/12,Agent
3079124605,microsoft,hermes-windows,220,[WIP] Revert Logging.cpp to Previous State Before PR #217,,,closed,2025-05-21T06:47:33Z,,,True,False,,,772,1.0,0.0,0.0,0.0,0.0,0,0,,https://api.github.com/repos/microsoft/hermes-windows,https://github.com/microsoft/hermes-windows/pull/220,Agent
3092078096,nickppv2000,aikidolive,13,"Revert ""Merge pull request #9 from nickppv2000/copilot/fix-8""",,,closed,2025-05-26T21:22:23Z,,,True,False,,,1475,2.0,160.0,0.0,81278.0,81278.0,0,0,,https://api.github.com/repos/nickppv2000/aikidolive,https://github.com/nickppv2000/aikidolive/pull/13,Agent
3092148938,nickppv2000,aikidolive,18,[WIP] revert or align man branch,,,closed,2025-05-26T22:35:39Z,,,True,False,,,1576,1.0,0.0,0.0,0.0,0.0,0,0,,https://api.github.com/repos/nickppv2000/aikidolive,https://github.com/nickppv2000/aikidolive/pull/18,Agent
3095279576,Zetic,fishchamp,28,[WIP] revert,,,closed,2025-05-27T21:28:47Z,,,True,False,,,1287,8.0,15.0,2395.0,40.0,2435.0,0,0,,https://api.github.com/repos/Zetic/fishchamp,https://github.com/Zetic/fishchamp/pull/28,Agent
3136910791,KnightNiwrem,n8n,5,chore: revert a54b23d - disable blank issues in GitHub issue templates,,,closed,2025-06-11T13:48:48Z,2025-06-11T14:05:27Z,2025-06-11T14:05:27Z,True,True,0.2775,0.0115625,918,2.0,1.0,1.0,1.0,2.0,0,1,,https://api.github.com/repos/KnightNiwrem/n8n,https://github.com/KnightNiwrem/n8n/pull/5,Agent
3140405649,microsoft,vstest,15094,[WIP] Revert ignoring environment test,,,closed,2025-06-12T13:55:15Z,2025-06-16T08:25:32Z,2025-06-16T08:25:32Z,True,True,90.5047222222222,3.77103009259259,670,2.0,1.0,0.0,1.0,1.0,3,3,90.3324074074074,https://api.github.com/repos/microsoft/vstest,https://github.com/microsoft/vstest/pull/15094,Agent
3154671013,microsoft,component-detection,1438,Revert .NET SDK version from 8.0.116 to 8.0.408 in global.json,,,open,2025-06-17T20:21:22Z,,,False,False,,,1733,1.0,0.0,0.0,0.0,0.0,0,0,,https://api.github.com/repos/microsoft/component-detection,https://github.com/microsoft/component-detection/pull/1438,Agent
3157737600,Azure,telescope,710,Revert pipeline.tfvars to pre-PR #616 state,,,open,2025-06-18T17:57:18Z,,,False,False,,,2014,2.0,1.0,30.0,0.0,30.0,0,0,,https://api.github.com/repos/Azure/telescope,https://github.com/Azure/telescope/pull/710,Agent
3172909362,jakub-k-slys,n8n-nodes-substack,22,revert: Fix broken N8n Substack node by reverting PR #20 authentication changes,,,closed,2025-06-24T18:25:50Z,2025-06-24T18:42:04Z,2025-06-24T18:42:04Z,True,True,0.270555555555555,0.0112731481481481,1297,2.0,1.0,2.0,2.0,4.0,1,1,0.268055555555555,https://api.github.com/repos/jakub-k-slys/n8n-nodes-substack,https://github.com/jakub-k-slys/n8n-nodes-substack/pull/22,Agent
3179883126,laurentkempe,myblog,172,Revert GitHub Codespaces default editor configuration,,,closed,2025-06-26T17:55:04Z,2025-06-26T19:03:57Z,2025-06-26T19:03:57Z,True,True,1.14805555555555,0.0478356481481481,2353,2.0,1.0,0.0,3.0,3.0,1,0,0.0372222222222222,https://api.github.com/repos/laurentkempe/myblog,https://github.com/laurentkempe/myblog/pull/172,Agent
3183474193,specmatic,specmatic,1931,[WIP] Revert filter test logic and add explicit tests for 0 tests and 0 successes cases in FilterIntegrationTest.kt,,,closed,2025-06-27T16:50:54Z,,,True,False,,,1169,1.0,0.0,0.0,0.0,0.0,0,0,,https://api.github.com/repos/specmatic/specmatic,https://github.com/specmatic/specmatic/pull/1931,Agent
3183613815,Bmn599,Fernly,42,Revert PR #40: Restore original hero animation timing,,,closed,2025-06-27T17:38:57Z,2025-06-27T17:55:31Z,2025-06-27T17:55:31Z,True,True,0.276111111111111,0.0115046296296296,2502,2.0,1.0,12.0,22.0,34.0,1,0,0.0577777777777777,https://api.github.com/repos/Bmn599/Fernly,https://github.com/Bmn599/Fernly/pull/42,Agent
