id,owner,repo,number,title,user,user_id,state,created_at,closed_at,merged_at,is_closed,is_merged,time_to_close_hours,time_to_close_days,body_length,commits,changed_files,additions,deletions,code_churn,review_iterations,total_comments,reviewer_workload_hours,repo_url,html_url
339259249,2006-Scape,2006Scape,171,"Revert ""Npc definitions/npc aggressiveness""",dginovker,32943174.0,closed,2019-11-11T05:22:30Z,2019-11-11T05:22:36Z,2019-11-11T05:22:36Z,True,True,0.0016666666666666,6.94444444444444e-05,34,1.0,4.0,12.0,134427.0,134439.0,0,0,,https://api.github.com/repos/2006-Scape/2006Scape,https://github.com/2006-Scape/2006Scape/pull/171
354891326,2006-Scape,2006Scape,303,"Revert ""Fix noclip"" because it did not work",dginovker,32943174.0,closed,2019-12-19T01:02:09Z,2019-12-19T01:02:14Z,2019-12-19T01:02:14Z,True,True,0.0013888888888888,5.78703703703703e-05,51,1.0,10.0,47.0,30.0,77.0,0,0,,https://api.github.com/repos/2006-Scape/2006Scape,https://github.com/2006-Scape/2006Scape/pull/303
480307952,2006-Scape,2006Scape,419,"Revert ""[BUGFIX] Running in 1-tick""",dginovker,32943174.0,closed,2020-09-05T00:14:40Z,2020-09-05T00:14:45Z,2020-09-05T00:14:45Z,True,True,0.0013888888888888,5.78703703703703e-05,156,1.0,1.0,2.0,2.0,4.0,0,0,,https://api.github.com/repos/2006-Scape/2006Scape,https://github.com/2006-Scape/2006Scape/pull/419
1232622802,2006-Scape,2006Scape,613,"Revert ""Bump jackson-databind from 2.10.5.1 to 2.12.7.1 in /2006Scapeâ€¦",Dark98,5911848.0,closed,2023-02-07T21:41:21Z,2023-02-07T21:41:31Z,2023-02-07T21:41:31Z,True,True,0.0027777777777777,0.0001157407407407,81,1.0,1.0,1.0,1.0,2.0,0,0,,https://api.github.com/repos/2006-Scape/2006Scape,https://github.com/2006-Scape/2006Scape/pull/613
34632311,4ian,GDevelop,122,"Revert ""Store instructions as shared pointers instead of as values""",4ian,1280130.0,closed,2015-05-04T12:08:38Z,2015-05-04T12:08:45Z,2015-05-04T12:08:45Z,True,True,0.0019444444444444,8.10185185185185e-05,20,1.0,42.0,246.0,527.0,773.0,0,0,,https://api.github.com/repos/4ian/GDevelop,https://github.com/4ian/GDevelop/pull/122
1077501902,4ian,GDevelop,4359,"Revert ""Add expression and condition to get highest z order of a layer (#4346)""",AlexandreSi,32449369.0,closed,2022-10-05T15:17:28Z,2022-10-06T08:34:42Z,2022-10-06T08:34:42Z,True,True,17.2872222222222,0.720300925925926,61,2.0,7.0,7.0,128.0,135.0,1,0,0.0402777777777777,https://api.github.com/repos/4ian/GDevelop,https://github.com/4ian/GDevelop/pull/4359
1177706103,4ian,GDevelop,4746,"Revert ""Includes the free functions of every extension that is actually used""",4ian,1280130.0,closed,2022-12-26T11:02:58Z,2022-12-26T11:36:40Z,2022-12-26T11:36:39Z,True,True,0.561388888888888,0.0233912037037037,26,1.0,4.0,112.0,45.0,157.0,0,3,,https://api.github.com/repos/4ian/GDevelop,https://github.com/4ian/GDevelop/pull/4746
1282699902,4ian,GDevelop,5134,Revert: Report errors in expressions when an object or a behavior doesn't exist,D8H,2611977.0,closed,2023-03-20T14:04:05Z,2023-03-20T14:08:42Z,2023-03-20T14:08:41Z,True,True,0.0766666666666666,0.0031944444444444,57,1.0,3.0,15.0,136.0,151.0,1,0,0.0688888888888888,https://api.github.com/repos/4ian/GDevelop,https://github.com/4ian/GDevelop/pull/5134
1403310421,4ian,GDevelop,5438,"Revert ""Add Steamworks Support""",4ian,1280130.0,closed,2023-06-22T10:57:40Z,2023-06-22T10:58:00Z,2023-06-22T10:58:00Z,True,True,0.0055555555555555,0.0002314814814814,123,1.0,8.0,7.0,2344.0,2351.0,0,0,,https://api.github.com/repos/4ian/GDevelop,https://github.com/4ian/GDevelop/pull/5438
1517293048,4ian,GDevelop,5660,"Revert ""Update `createObjectsFrom` and `createObjectsFromExternalLayout` to return a list of objects that it creates.""",4ian,1280130.0,closed,2023-09-15T12:46:23Z,2023-09-15T12:46:33Z,2023-09-15T12:46:33Z,True,True,0.0027777777777777,0.0001157407407407,26,1.0,2.0,4.0,8.0,12.0,0,0,,https://api.github.com/repos/4ian/GDevelop,https://github.com/4ian/GDevelop/pull/5660
